comparison,target_id,target_rater,gold,overall_rubric_prediction,full_rubric_prediction,overall_rubric_error,full_rubric_error
k0_overall_rubric_to_k0_full_rubric,1881:2,rater_24,2,3,2,1,0
k0_overall_rubric_to_k0_full_rubric,2016:1,rater_7,3,3,2,0,1
k0_overall_rubric_to_k0_full_rubric,2387:1,rater_7,3,3,2,0,1
k0_overall_rubric_to_k0_full_rubric,242:1,rater_7,4,3,2,1,2
k0_overall_rubric_to_k0_full_rubric,3076:1,rater_18,3,3,2,0,1
k0_overall_rubric_to_k0_full_rubric,3872:2,rater_11,2,3,2,1,0
k0_overall_rubric_to_k0_full_rubric,4430:2,rater_2,2,3,2,1,0
k0_overall_rubric_to_k0_full_rubric,542:2,rater_7,2,3,2,1,0
k0_overall_rubric_to_k0_full_rubric,8079:2,rater_1,3,3,2,0,1
k0_overall_rubric_to_k0_full_rubric,8415:1,rater_7,5,4,3,1,2
k0_overall_rubric_to_k0_full_rubric,8443:2,rater_2,3,3,2,0,1
k0_overall_rubric_to_k0_full_rubric,8656:1,rater_7,3,3,2,0,1
k0_overall_rubric_to_k0_full_rubric,8656:2,rater_4,4,3,2,1,2
k0_overall_rubric_to_k0_full_rubric,8669:1,rater_7,3,3,2,0,1
correct_k3_overall_rubric_to_correct_k3_full_rubric,2557:2,rater_11,4,3,2,1,2
correct_k3_overall_rubric_to_correct_k3_full_rubric,2615:2,rater_11,2,2,3,0,1
correct_k3_overall_rubric_to_correct_k3_full_rubric,2781:2,rater_2,4,4,3,0,1
correct_k3_overall_rubric_to_correct_k3_full_rubric,3076:1,rater_18,3,3,2,0,1
correct_k3_overall_rubric_to_correct_k3_full_rubric,3204:1,rater_13,3,3,2,0,1
correct_k3_overall_rubric_to_correct_k3_full_rubric,4224:2,rater_10,3,3,2,0,1
correct_k3_overall_rubric_to_correct_k3_full_rubric,4279:2,rater_10,2,3,2,1,0
correct_k3_overall_rubric_to_correct_k3_full_rubric,4283:1,rater_23,3,4,3,1,0
correct_k3_overall_rubric_to_correct_k3_full_rubric,4718:2,rater_10,5,4,3,1,2
correct_k3_overall_rubric_to_correct_k3_full_rubric,4869:1,rater_18,3,2,3,1,0
correct_k3_overall_rubric_to_correct_k3_full_rubric,5846:2,rater_13,3,4,3,1,0
correct_k3_overall_rubric_to_correct_k3_full_rubric,6007:2,rater_11,4,3,2,1,2
correct_k3_overall_rubric_to_correct_k3_full_rubric,6343:1,rater_21,3,3,2,0,1
correct_k3_overall_rubric_to_correct_k3_full_rubric,8656:1,rater_7,3,3,2,0,1
correct_k3_overall_rubric_to_correct_k3_full_rubric,8877:1,rater_9,3,3,2,0,1
