target_id,condition,history_count,prompt_tokens,context_fit
104:1,k0_with_rubric,0,724,True
104:1,raw_k3_with_rubric,3,2131,True
1125:2,k0_with_rubric,0,674,True
1125:2,raw_k3_with_rubric,3,1786,True
156:2,k0_with_rubric,0,567,True
156:2,raw_k3_with_rubric,3,1576,True
1610:2,k0_with_rubric,0,1683,True
1610:2,raw_k3_with_rubric,3,2993,True
1808:1,k0_with_rubric,0,1201,True
1808:1,raw_k3_with_rubric,3,2512,True
1813:2,k0_with_rubric,0,1253,True
1813:2,raw_k3_with_rubric,3,2726,True
1881:2,k0_with_rubric,0,1037,True
1881:2,raw_k3_with_rubric,3,2397,True
1989:1,k0_with_rubric,0,1093,True
1989:1,raw_k3_with_rubric,3,2940,True
2016:1,k0_with_rubric,0,853,True
2016:1,raw_k3_with_rubric,3,2232,True
2039:2,k0_with_rubric,0,669,True
2039:2,raw_k3_with_rubric,3,2501,True
2042:2,k0_with_rubric,0,874,True
2042:2,raw_k3_with_rubric,3,2101,True
208:2,k0_with_rubric,0,606,True
208:2,raw_k3_with_rubric,3,1864,True
2354:2,k0_with_rubric,0,1105,True
2354:2,raw_k3_with_rubric,3,2801,True
2387:1,k0_with_rubric,0,813,True
2387:1,raw_k3_with_rubric,3,2580,True
242:1,k0_with_rubric,0,813,True
242:1,raw_k3_with_rubric,3,3002,True
2431:1,k0_with_rubric,0,1218,True
2431:1,raw_k3_with_rubric,3,2595,True
2557:2,k0_with_rubric,0,1002,True
2557:2,raw_k3_with_rubric,3,2496,True
2615:2,k0_with_rubric,0,939,True
2615:2,raw_k3_with_rubric,3,2917,True
2781:2,k0_with_rubric,0,913,True
2781:2,raw_k3_with_rubric,3,3085,True
2840:1,k0_with_rubric,0,1170,True
2840:1,raw_k3_with_rubric,3,2985,True
2845:2,k0_with_rubric,0,950,True
2845:2,raw_k3_with_rubric,3,2192,True
2993:1,k0_with_rubric,0,977,True
2993:1,raw_k3_with_rubric,3,1854,True
2993:2,k0_with_rubric,0,977,True
2993:2,raw_k3_with_rubric,3,2967,True
3076:1,k0_with_rubric,0,857,True
3076:1,raw_k3_with_rubric,3,2453,True
3088:1,k0_with_rubric,0,1255,True
3088:1,raw_k3_with_rubric,3,2435,True
3204:1,k0_with_rubric,0,924,True
3204:1,raw_k3_with_rubric,3,2546,True
3252:1,k0_with_rubric,0,907,True
3252:1,raw_k3_with_rubric,3,3055,True
3282:1,k0_with_rubric,0,1050,True
3282:1,raw_k3_with_rubric,3,3771,True
3346:1,k0_with_rubric,0,1819,True
3346:1,raw_k3_with_rubric,3,3603,True
3372:1,k0_with_rubric,0,994,True
3372:1,raw_k3_with_rubric,3,3099,True
3385:1,k0_with_rubric,0,1107,True
3385:1,raw_k3_with_rubric,3,3332,True
3473:1,k0_with_rubric,0,934,True
3473:1,raw_k3_with_rubric,3,2021,True
3650:1,k0_with_rubric,0,1039,True
3650:1,raw_k3_with_rubric,3,2640,True
3718:2,k0_with_rubric,0,859,True
3718:2,raw_k3_with_rubric,3,2570,True
3800:1,k0_with_rubric,0,825,True
3800:1,raw_k3_with_rubric,3,2892,True
3872:2,k0_with_rubric,0,767,True
3872:2,raw_k3_with_rubric,3,2672,True
4224:2,k0_with_rubric,0,770,True
4224:2,raw_k3_with_rubric,3,2591,True
422:2,k0_with_rubric,0,729,True
422:2,raw_k3_with_rubric,3,2301,True
4279:2,k0_with_rubric,0,733,True
4279:2,raw_k3_with_rubric,3,2131,True
4283:1,k0_with_rubric,0,1084,True
4283:1,raw_k3_with_rubric,3,2948,True
4387:2,k0_with_rubric,0,909,True
4387:2,raw_k3_with_rubric,3,2444,True
4430:2,k0_with_rubric,0,652,True
4430:2,raw_k3_with_rubric,3,2299,True
4565:1,k0_with_rubric,0,659,True
4565:1,raw_k3_with_rubric,3,1903,True
4576:2,k0_with_rubric,0,1071,True
4576:2,raw_k3_with_rubric,3,2286,True
4701:1,k0_with_rubric,0,886,True
4701:1,raw_k3_with_rubric,3,2146,True
4718:2,k0_with_rubric,0,934,True
4718:2,raw_k3_with_rubric,3,2190,True
475:2,k0_with_rubric,0,982,True
475:2,raw_k3_with_rubric,3,2582,True
4825:2,k0_with_rubric,0,956,True
4825:2,raw_k3_with_rubric,3,2780,True
4848:1,k0_with_rubric,0,894,True
4848:1,raw_k3_with_rubric,3,2780,True
4869:1,k0_with_rubric,0,1136,True
4869:1,raw_k3_with_rubric,3,2432,True
5213:2,k0_with_rubric,0,722,True
5213:2,raw_k3_with_rubric,3,2646,True
5293:1,k0_with_rubric,0,915,True
5293:1,raw_k3_with_rubric,3,2956,True
5374:1,k0_with_rubric,0,1505,True
5374:1,raw_k3_with_rubric,3,3091,True
542:2,k0_with_rubric,0,675,True
542:2,raw_k3_with_rubric,3,2305,True
5498:1,k0_with_rubric,0,960,True
5498:1,raw_k3_with_rubric,3,2960,True
5577:2,k0_with_rubric,0,1072,True
5577:2,raw_k3_with_rubric,3,3120,True
5680:1,k0_with_rubric,0,832,True
5680:1,raw_k3_with_rubric,3,2429,True
5715:1,k0_with_rubric,0,1159,True
5715:1,raw_k3_with_rubric,3,2646,True
5724:1,k0_with_rubric,0,1120,True
5724:1,raw_k3_with_rubric,3,2449,True
5726:2,k0_with_rubric,0,829,True
5726:2,raw_k3_with_rubric,3,2097,True
5811:1,k0_with_rubric,0,1808,True
5811:1,raw_k3_with_rubric,3,2804,True
5846:2,k0_with_rubric,0,993,True
5846:2,raw_k3_with_rubric,3,3114,True
5854:2,k0_with_rubric,0,962,True
5854:2,raw_k3_with_rubric,3,2388,True
5965:1,k0_with_rubric,0,846,True
5965:1,raw_k3_with_rubric,3,2851,True
6007:2,k0_with_rubric,0,1101,True
6007:2,raw_k3_with_rubric,3,2750,True
6121:2,k0_with_rubric,0,1035,True
6121:2,raw_k3_with_rubric,3,3044,True
6215:2,k0_with_rubric,0,957,True
6215:2,raw_k3_with_rubric,3,2837,True
6298:2,k0_with_rubric,0,1555,True
6298:2,raw_k3_with_rubric,3,2972,True
6343:1,k0_with_rubric,0,1023,True
6343:1,raw_k3_with_rubric,3,2794,True
6362:1,k0_with_rubric,0,1724,True
