condition,rater_id,n,accuracy,mae
boundary_aware_correct_k3_overall_rubric,rater_1,4,1.0,0.0
boundary_aware_correct_k3_overall_rubric,rater_10,9,0.3333333333333333,0.7777777777777778
boundary_aware_correct_k3_overall_rubric,rater_11,9,0.4444444444444444,0.5555555555555556
boundary_aware_correct_k3_overall_rubric,rater_12,7,0.5714285714285714,0.42857142857142855
boundary_aware_correct_k3_overall_rubric,rater_13,7,0.42857142857142855,0.5714285714285714
boundary_aware_correct_k3_overall_rubric,rater_15,6,0.3333333333333333,0.6666666666666666
boundary_aware_correct_k3_overall_rubric,rater_18,7,0.42857142857142855,0.5714285714285714
boundary_aware_correct_k3_overall_rubric,rater_19,3,0.6666666666666666,0.3333333333333333
boundary_aware_correct_k3_overall_rubric,rater_2,10,0.8,0.2
boundary_aware_correct_k3_overall_rubric,rater_21,4,0.5,0.5
boundary_aware_correct_k3_overall_rubric,rater_22,2,1.0,0.0
boundary_aware_correct_k3_overall_rubric,rater_23,5,0.6,0.4
boundary_aware_correct_k3_overall_rubric,rater_24,1,1.0,0.0
boundary_aware_correct_k3_overall_rubric,rater_27,2,1.0,0.0
boundary_aware_correct_k3_overall_rubric,rater_3,2,1.0,0.0
boundary_aware_correct_k3_overall_rubric,rater_4,3,0.3333333333333333,1.0
boundary_aware_correct_k3_overall_rubric,rater_5,1,1.0,0.0
boundary_aware_correct_k3_overall_rubric,rater_6,4,0.5,0.75
boundary_aware_correct_k3_overall_rubric,rater_7,10,0.5,0.6
boundary_aware_correct_k3_overall_rubric,rater_8,2,0.0,1.0
boundary_aware_correct_k3_overall_rubric,rater_9,2,0.5,0.5
existing_correct_k3_overall_rubric,rater_1,4,1.0,0.0
existing_correct_k3_overall_rubric,rater_10,9,0.3333333333333333,0.6666666666666666
existing_correct_k3_overall_rubric,rater_11,9,0.5555555555555556,0.4444444444444444
existing_correct_k3_overall_rubric,rater_12,7,0.7142857142857143,0.2857142857142857
existing_correct_k3_overall_rubric,rater_13,7,0.42857142857142855,0.5714285714285714
existing_correct_k3_overall_rubric,rater_15,6,0.3333333333333333,0.6666666666666666
existing_correct_k3_overall_rubric,rater_18,7,0.42857142857142855,0.5714285714285714
existing_correct_k3_overall_rubric,rater_19,3,0.3333333333333333,0.6666666666666666
existing_correct_k3_overall_rubric,rater_2,10,0.8,0.2
existing_correct_k3_overall_rubric,rater_21,4,0.5,0.5
existing_correct_k3_overall_rubric,rater_22,2,1.0,0.0
existing_correct_k3_overall_rubric,rater_23,5,0.6,0.4
existing_correct_k3_overall_rubric,rater_24,1,0.0,1.0
existing_correct_k3_overall_rubric,rater_27,2,1.0,0.0
existing_correct_k3_overall_rubric,rater_3,2,1.0,0.0
existing_correct_k3_overall_rubric,rater_4,3,0.3333333333333333,1.0
existing_correct_k3_overall_rubric,rater_5,1,1.0,0.0
existing_correct_k3_overall_rubric,rater_6,4,0.5,0.75
existing_correct_k3_overall_rubric,rater_7,10,0.6,0.6
existing_correct_k3_overall_rubric,rater_8,2,0.0,1.0
existing_correct_k3_overall_rubric,rater_9,2,0.5,0.5
