target_id,target_rater,wrong_rater,history_count,prompt_tokens,context_fit
104:1,rater_5,rater_22,3,2065,True
1125:2,rater_13,rater_23,3,2424,True
156:2,rater_3,rater_25,3,2543,True
1610:2,rater_27,rater_1,3,3049,True
1808:1,rater_12,rater_25,3,3209,True
1813:2,rater_4,rater_13,3,2843,True
1881:2,rater_24,rater_7,3,2351,True
1989:1,rater_6,rater_16,3,2840,True
2016:1,rater_7,rater_8,3,2257,True
2039:2,rater_22,rater_1,3,1989,True
2042:2,rater_22,rater_27,3,2328,True
208:2,rater_2,rater_19,3,2437,True
2354:2,rater_2,rater_26,3,2661,True
2387:1,rater_7,rater_16,3,2190,True
242:1,rater_7,rater_19,3,2300,True
2431:1,rater_4,rater_26,3,2542,True
2557:2,rater_11,rater_15,3,2585,True
2615:2,rater_11,rater_18,3,3082,True
2781:2,rater_2,rater_15,3,3105,True
2840:1,rater_19,rater_12,3,2487,True
2845:2,rater_9,rater_18,3,3533,True
2993:1,rater_15,rater_26,3,2183,True
2993:2,rater_12,rater_25,3,2646,True
3076:1,rater_18,rater_23,3,2023,True
3088:1,rater_18,rater_10,3,3176,True
3204:1,rater_13,rater_3,3,2437,True
3252:1,rater_23,rater_3,3,2256,True
3282:1,rater_1,rater_8,3,2507,True
3346:1,rater_23,rater_18,3,4140,True
3372:1,rater_12,rater_8,3,2757,True
3385:1,rater_12,rater_26,3,2257,True
3473:1,rater_8,rater_10,3,3200,True
3650:1,rater_7,rater_19,3,2604,True
3718:2,rater_2,rater_8,3,2013,True
3800:1,rater_8,rater_13,3,2541,True
3872:2,rater_11,rater_10,3,2593,True
4224:2,rater_10,rater_19,3,2395,True
422:2,rater_18,rater_27,3,2720,True
4279:2,rater_10,rater_21,3,2166,True
4283:1,rater_23,rater_18,3,3105,True
4387:2,rater_13,rater_16,3,2316,True
4430:2,rater_2,rater_9,3,2234,True
4565:1,rater_10,rater_5,3,1501,True
4576:2,rater_11,rater_10,3,2722,True
4701:1,rater_23,rater_11,3,2067,True
4718:2,rater_10,rater_11,3,2563,True
475:2,rater_7,rater_15,3,2954,True
4825:2,rater_11,rater_19,3,2510,True
4848:1,rater_10,rater_15,3,2919,True
4869:1,rater_18,rater_13,3,3032,True
5213:2,rater_11,rater_9,3,3014,True
5293:1,rater_7,rater_18,3,2462,True
5374:1,rater_15,rater_4,3,3348,True
542:2,rater_7,rater_5,3,2064,True
5498:1,rater_1,rater_4,3,2229,True
5577:2,rater_2,rater_13,3,2973,True
5680:1,rater_18,rater_23,3,1911,True
5715:1,rater_1,rater_7,3,3286,True
5724:1,rater_18,rater_6,3,2320,True
5726:2,rater_13,rater_20,3,2546,True
5811:1,rater_6,rater_13,3,3452,True
5846:2,rater_13,rater_9,3,2589,True
5854:2,rater_13,rater_9,3,2054,True
5965:1,rater_21,rater_20,3,2486,True
6007:2,rater_11,rater_16,3,2090,True
6121:2,rater_15,rater_18,3,2116,True
6215:2,rater_12,rater_20,3,2828,True
6298:2,rater_15,rater_17,3,3746,True
6343:1,rater_21,rater_12,3,2318,True
6362:1,rater_21,rater_13,3,3448,True
6674:2,rater_11,rater_20,3,2371,True
6685:1,rater_10,rater_3,3,2300,True
6829:1,rater_12,rater_20,3,2316,True
6856:1,rater_13,rater_12,3,2323,True
6955:2,rater_12,rater_20,3,3167,True
7013:1,rater_15,rater_13,3,3101,True
704:2,rater_2,rater_5,3,1922,True
716:1,rater_18,rater_6,3,2003,True
7183:2,rater_15,rater_4,3,2579,True
7237:2,rater_27,rater_24,3,2720,True
7433:1,rater_19,rater_6,3,2220,True
7584:2,rater_10,rater_19,3,2305,True
7601:2,rater_10,rater_24,3,3548,True
7630:2,rater_10,rater_24,3,2518,True
7793:1,rater_3,rater_27,3,2833,True
7907:2,rater_6,rater_10,3,3135,True
8005:1,rater_6,rater_10,3,2503,True
8079:2,rater_1,rater_19,3,2113,True
8197:2,rater_2,rater_1,3,2163,True
8415:1,rater_7,rater_5,3,2242,True
8443:2,rater_2,rater_9,3,2468,True
8521:2,rater_2,rater_3,3,2706,True
8580:2,rater_21,rater_27,3,2627,True
8632:2,rater_23,rater_21,3,3387,True
8656:1,rater_7,rater_8,3,2660,True
8656:2,rater_4,rater_15,3,3168,True
8669:1,rater_7,rater_23,3,2170,True
8771:2,rater_11,rater_15,3,2270,True
8877:1,rater_9,rater_7,3,2619,True
894:1,rater_19,rater_7,3,2538,True
