target_id,condition,history_count,prompt_tokens,context_fit
104:1,k0_full_rubric,0,1691,True
104:1,correct_k3_full_rubric,3,3098,True
1125:2,k0_full_rubric,0,1641,True
1125:2,correct_k3_full_rubric,3,2753,True
156:2,k0_full_rubric,0,1534,True
156:2,correct_k3_full_rubric,3,2543,True
1610:2,k0_full_rubric,0,2650,True
1610:2,correct_k3_full_rubric,3,3960,True
1808:1,k0_full_rubric,0,2168,True
1808:1,correct_k3_full_rubric,3,3479,True
1813:2,k0_full_rubric,0,2220,True
1813:2,correct_k3_full_rubric,3,3693,True
1881:2,k0_full_rubric,0,2004,True
1881:2,correct_k3_full_rubric,3,3364,True
1989:1,k0_full_rubric,0,2060,True
1989:1,correct_k3_full_rubric,3,3907,True
2016:1,k0_full_rubric,0,1820,True
2016:1,correct_k3_full_rubric,3,3199,True
2039:2,k0_full_rubric,0,1636,True
2039:2,correct_k3_full_rubric,3,3468,True
2042:2,k0_full_rubric,0,1841,True
2042:2,correct_k3_full_rubric,3,3068,True
208:2,k0_full_rubric,0,1573,True
208:2,correct_k3_full_rubric,3,2831,True
2354:2,k0_full_rubric,0,2072,True
2354:2,correct_k3_full_rubric,3,3768,True
2387:1,k0_full_rubric,0,1780,True
2387:1,correct_k3_full_rubric,3,3547,True
242:1,k0_full_rubric,0,1780,True
242:1,correct_k3_full_rubric,3,3969,True
2431:1,k0_full_rubric,0,2185,True
2431:1,correct_k3_full_rubric,3,3562,True
2557:2,k0_full_rubric,0,1969,True
2557:2,correct_k3_full_rubric,3,3463,True
2615:2,k0_full_rubric,0,1906,True
2615:2,correct_k3_full_rubric,3,3884,True
2781:2,k0_full_rubric,0,1880,True
2781:2,correct_k3_full_rubric,3,4052,True
2840:1,k0_full_rubric,0,2137,True
2840:1,correct_k3_full_rubric,3,3952,True
2845:2,k0_full_rubric,0,1917,True
2845:2,correct_k3_full_rubric,3,3159,True
2993:1,k0_full_rubric,0,1944,True
2993:1,correct_k3_full_rubric,3,2821,True
2993:2,k0_full_rubric,0,1944,True
2993:2,correct_k3_full_rubric,3,3934,True
3076:1,k0_full_rubric,0,1824,True
3076:1,correct_k3_full_rubric,3,3420,True
3088:1,k0_full_rubric,0,2222,True
3088:1,correct_k3_full_rubric,3,3402,True
3204:1,k0_full_rubric,0,1891,True
3204:1,correct_k3_full_rubric,3,3513,True
3252:1,k0_full_rubric,0,1874,True
3252:1,correct_k3_full_rubric,3,4022,True
3282:1,k0_full_rubric,0,2017,True
3282:1,correct_k3_full_rubric,3,4738,True
3346:1,k0_full_rubric,0,2786,True
3346:1,correct_k3_full_rubric,3,4570,True
3372:1,k0_full_rubric,0,1961,True
3372:1,correct_k3_full_rubric,3,4066,True
3385:1,k0_full_rubric,0,2074,True
3385:1,correct_k3_full_rubric,3,4299,True
3473:1,k0_full_rubric,0,1901,True
3473:1,correct_k3_full_rubric,3,2988,True
3650:1,k0_full_rubric,0,2006,True
3650:1,correct_k3_full_rubric,3,3607,True
3718:2,k0_full_rubric,0,1826,True
3718:2,correct_k3_full_rubric,3,3537,True
3800:1,k0_full_rubric,0,1792,True
3800:1,correct_k3_full_rubric,3,3859,True
3872:2,k0_full_rubric,0,1734,True
3872:2,correct_k3_full_rubric,3,3639,True
4224:2,k0_full_rubric,0,1737,True
4224:2,correct_k3_full_rubric,3,3558,True
422:2,k0_full_rubric,0,1696,True
422:2,correct_k3_full_rubric,3,3268,True
4279:2,k0_full_rubric,0,1700,True
4279:2,correct_k3_full_rubric,3,3098,True
4283:1,k0_full_rubric,0,2051,True
4283:1,correct_k3_full_rubric,3,3915,True
4387:2,k0_full_rubric,0,1876,True
4387:2,correct_k3_full_rubric,3,3411,True
4430:2,k0_full_rubric,0,1619,True
4430:2,correct_k3_full_rubric,3,3266,True
4565:1,k0_full_rubric,0,1626,True
4565:1,correct_k3_full_rubric,3,2870,True
4576:2,k0_full_rubric,0,2038,True
