target_id,rater_id,K,history_count,history_ids,prompt_tokens,context_fit,target_leaked,prompt_language
104:1,rater_5,0,0,,499,True,False,en
104:1,rater_5,3,3,7903:1|5612:2|5083:1,1906,True,False,en
1125:2,rater_13,0,0,,449,True,False,en
1125:2,rater_13,3,3,3274:1|6763:2|3393:2,1561,True,False,en
156:2,rater_3,0,0,,342,True,False,en
156:2,rater_3,3,3,5940:2|79:2|52:2,1351,True,False,en
1610:2,rater_27,0,0,,1458,True,False,en
1610:2,rater_27,3,3,1675:2|1711:2|4949:2,2768,True,False,en
1808:1,rater_12,0,0,,976,True,False,en
1808:1,rater_12,3,3,7281:2|3394:1|6221:2,2287,True,False,en
1813:2,rater_4,0,0,,1028,True,False,en
1813:2,rater_4,3,3,5896:2|2795:1|1699:2,2501,True,False,en
1881:2,rater_24,0,0,,812,True,False,en
1881:2,rater_24,3,3,7720:1|629:2|7028:2,2172,True,False,en
1989:1,rater_6,0,0,,868,True,False,en
1989:1,rater_6,3,3,1993:1|3657:1|176:1,2715,True,False,en
2016:1,rater_7,0,0,,628,True,False,en
2016:1,rater_7,3,3,6239:1|7859:2|2868:1,2007,True,False,en
2039:2,rater_22,0,0,,444,True,False,en
2039:2,rater_22,3,3,589:2|2960:2|7219:2,2276,True,False,en
2042:2,rater_22,0,0,,649,True,False,en
2042:2,rater_22,3,3,2906:2|1828:2|2892:2,1876,True,False,en
208:2,rater_2,0,0,,381,True,False,en
208:2,rater_2,3,3,1853:2|2140:2|860:2,1639,True,False,en
2354:2,rater_2,0,0,,880,True,False,en
2354:2,rater_2,3,3,2163:2|8445:2|6200:1,2576,True,False,en
2387:1,rater_7,0,0,,588,True,False,en
2387:1,rater_7,3,3,1619:1|286:2|1717:1,2355,True,False,en
242:1,rater_7,0,0,,588,True,False,en
242:1,rater_7,3,3,4927:1|8646:1|8615:1,2777,True,False,en
2431:1,rater_4,0,0,,993,True,False,en
2431:1,rater_4,3,3,6030:2|1398:2|8701:2,2370,True,False,en
2557:2,rater_11,0,0,,777,True,False,en
2557:2,rater_11,3,3,681:2|4812:2|4591:2,2271,True,False,en
2615:2,rater_11,0,0,,714,True,False,en
2615:2,rater_11,3,3,5203:2|5535:2|5269:2,2692,True,False,en
2781:2,rater_2,0,0,,688,True,False,en
2781:2,rater_2,3,3,2451:2|3257:2|6249:2,2860,True,False,en
2840:1,rater_19,0,0,,945,True,False,en
2840:1,rater_19,3,3,7291:1|6097:1|377:1,2760,True,False,en
2845:2,rater_9,0,0,,725,True,False,en
2845:2,rater_9,3,3,5488:1|3447:2|2458:1,1967,True,False,en
2993:1,rater_15,0,0,,752,True,False,en
2993:1,rater_15,3,3,1049:2|7003:1|1548:2,1629,True,False,en
2993:2,rater_12,0,0,,752,True,False,en
2993:2,rater_12,3,3,1498:1|754:1|6970:2,2742,True,False,en
3076:1,rater_18,0,0,,632,True,False,en
3076:1,rater_18,3,3,1564:1|7217:1|4147:2,2228,True,False,en
3088:1,rater_18,0,0,,1030,True,False,en
3088:1,rater_18,3,3,450:2|5760:1|5648:1,2210,True,False,en
3204:1,rater_13,0,0,,699,True,False,en
3204:1,rater_13,3,3,6895:1|4426:2|1425:2,2321,True,False,en
3252:1,rater_23,0,0,,682,True,False,en
3252:1,rater_23,3,3,5310:2|1629:2|4295:1,2830,True,False,en
3282:1,rater_1,0,0,,825,True,False,en
3282:1,rater_1,3,3,6469:1|8045:2|6514:1,3546,True,False,en
3346:1,rater_23,0,0,,1594,True,False,en
3346:1,rater_23,3,3,3984:1|4251:1|7667:1,3378,True,False,en
3372:1,rater_12,0,0,,769,True,False,en
3372:1,rater_12,3,3,619:1|1480:1|5750:2,2874,True,False,en
3385:1,rater_12,0,0,,882,True,False,en
3385:1,rater_12,3,3,1631:2|1415:1|7084:2,3107,True,False,en
3473:1,rater_8,0,0,,709,True,False,en
3473:1,rater_8,3,3,3498:1|3547:1|2656:1,1796,True,False,en
3650:1,rater_7,0,0,,814,True,False,en
3650:1,rater_7,3,3,6379:1|8604:1|418:2,2415,True,False,en
3718:2,rater_2,0,0,,634,True,False,en
3718:2,rater_2,3,3,3456:2|6574:2|6566:2,2345,True,False,en
3800:1,rater_8,0,0,,600,True,False,en
3800:1,rater_8,3,3,3458:1|3474:1|3889:1,2667,True,False,en
3872:2,rater_11,0,0,,542,True,False,en
3872:2,rater_11,3,3,4830:2|4800:2|5603:2,2447,True,False,en
4224:2,rater_10,0,0,,545,True,False,en
4224:2,rater_10,3,3,4540:1|4255:2|6679:1,2366,True,False,en
422:2,rater_18,0,0,,504,True,False,en
422:2,rater_18,3,3,1577:1|3137:1|7185:1,2076,True,False,en
4279:2,rater_10,0,0,,508,True,False,en
4279:2,rater_10,3,3,4552:1|4548:1|5356:2,1906,True,False,en
4283:1,rater_23,0,0,,859,True,False,en
4283:1,rater_23,3,3,7686:1|7631:1|4701:1,2723,True,False,en
4387:2,rater_13,0,0,,684,True,False,en
4387:2,rater_13,3,3,3371:2|530:2|5717:2,2219,True,False,en
4430:2,rater_2,0,0,,427,True,False,en
4430:2,rater_2,3,3,33:2|3541:2|2787:2,2074,True,False,en
4565:1,rater_10,0,0,,434,True,False,en
4565:1,rater_10,3,3,4537:1|3985:2|2212:1,1678,True,False,en
4576:2,rater_11,0,0,,846,True,False,en
4576:2,rater_11,3,3,3804:2|5265:2|5213:2,2061,True,False,en
4701:1,rater_23,0,0,,661,True,False,en
4701:1,rater_23,3,3,1470:2|4300:1|790:1,1921,True,False,en
4718:2,rater_10,0,0,,709,True,False,en
4718:2,rater_10,3,3,4688:2|3960:2|7574:2,1965,True,False,en
475:2,rater_7,0,0,,757,True,False,en
475:2,rater_7,3,3,904:2|7849:2|2707:1,2357,True,False,en
4825:2,rater_11,0,0,,731,True,False,en
4825:2,rater_11,3,3,6004:2|3800:2|3825:2,2555,True,False,en
4848:1,rater_10,0,0,,669,True,False,en
4848:1,rater_10,3,3,4248:2|821:1|353:2,2555,True,False,en
4869:1,rater_18,0,0,,911,True,False,en
4869:1,rater_18,3,3,7093:1|4917:1|4216:2,2207,True,False,en
5213:2,rater_11,0,0,,497,True,False,en
5213:2,rater_11,3,3,1137:2|5962:2|4639:2,2421,True,False,en
5293:1,rater_7,0,0,,690,True,False,en
5293:1,rater_7,3,3,8446:1|8361:1|8402:1,2731,True,False,en
5374:1,rater_15,0,0,,1280,True,False,en
5374:1,rater_15,3,3,7308:2|6957:1|1946:1,2866,True,False,en
542:2,rater_7,0,0,,450,True,False,en
542:2,rater_7,3,3,1624:1|6240:1|8716:1,2080,True,False,en
5498:1,rater_1,0,0,,735,True,False,en
5498:1,rater_1,3,3,3586:2|6539:1|3653:2,2735,True,False,en
5577:2,rater_2,0,0,,847,True,False,en
5577:2,rater_2,3,3,6430:1|2287:2|6606:2,2895,True,False,en
5680:1,rater_18,0,0,,607,True,False,en
5680:1,rater_18,3,3,5743:1|572:1|7200:1,2204,True,False,en
5715:1,rater_1,0,0,,934,True,False,en
5715:1,rater_1,3,3,8051:2|3730:1|3467:1,2421,True,False,en
5724:1,rater_18,0,0,,895,True,False,en
5724:1,rater_18,3,3,3093:1|4149:2|4114:2,2224,True,False,en
5726:2,rater_13,0,0,,604,True,False,en
5726:2,rater_13,3,3,1115:2|5899:2|6735:2,1872,True,False,en
5811:1,rater_6,0,0,,1583,True,False,en
5811:1,rater_6,3,3,3664:1|177:1|7972:1,2579,True,False,en
5846:2,rater_13,0,0,,768,True,False,en
5846:2,rater_13,3,3,4482:2|4870:2|6765:2,2889,True,False,en
5854:2,rater_13,0,0,,737,True,False,en
5854:2,rater_13,3,3,4369:2|1103:2|4885:2,2163,True,False,en
5965:1,rater_21,0,0,,621,True,False,en
5965:1,rater_21,3,3,8605:2|2363:1|8587:2,2626,True,False,en
6007:2,rater_11,0,0,,876,True,False,en
6007:2,rater_11,3,3,3890:2|8853:2|2553:2,2525,True,False,en
6121:2,rater_15,0,0,,810,True,False,en
6121:2,rater_15,3,3,5300:1|7287:2|2965:1,2819,True,False,en
6215:2,rater_12,0,0,,732,True,False,en
6215:2,rater_12,3,3,2931:1|2974:2|5373:2,2612,True,False,en
6298:2,rater_15,0,0,,1330,True,False,en
6298:2,rater_15,3,3,6083:2|4322:1|7161:2,2747,True,False,en
6343:1,rater_21,0,0,,798,True,False,en
6343:1,rater_21,3,3,6360:1|6009:1|1978:2,2569,True,False,en
6362:1,rater_21,0,0,,1499,True,False,en
6362:1,rater_21,3,3,1106:1|1839:2|8598:2,3997,True,False,en
6674:2,rater_11,0,0,,636,True,False,en
6674:2,rater_11,3,3,2500:2|4536:2|5410:2,2438,True,False,en
6685:1,rater_10,0,0,,609,True,False,en
6685:1,rater_10,3,3,517:2|8394:2|4255:2,2774,True,False,en
6829:1,rater_12,0,0,,766,True,False,en
6829:1,rater_12,3,3,2975:2|7089:2|5763:2,2043,True,False,en
6856:1,rater_13,0,0,,479,True,False,en
6856:1,rater_13,3,3,6921:1|1097:2|4923:2,1781,True,False,en
6955:2,rater_12,0,0,,1278,True,False,en
6955:2,rater_12,3,3,6209:2|1183:2|3041:2,2792,True,False,en
7013:1,rater_15,0,0,,951,True,False,en
7013:1,rater_15,3,3,6069:2|4313:1|5274:1,2615,True,False,en
704:2,rater_2,0,0,,814,True,False,en
704:2,rater_2,3,3,7507:1|2885:2|6558:2,2373,True,False,en
716:1,rater_18,0,0,,647,True,False,en
716:1,rater_18,3,3,5677:1|4890:1|5654:1,2210,True,False,en
7183:2,rater_15,0,0,,677,True,False,en
7183:2,rater_15,3,3,4314:1|1568:2|4498:1,1952,True,False,en
7237:2,rater_27,0,0,,628,True,False,en
7237:2,rater_27,3,3,7734:2|4717:2|1763:2,1942,True,False,en
7433:1,rater_19,0,0,,356,True,False,en
7433:1,rater_19,3,3,325:1|6110:1|2816:1,2172,True,False,en
7584:2,rater_10,0,0,,513,True,False,en
7584:2,rater_10,3,3,2177:1|4665:2|8397:2,2883,True,False,en
7601:2,rater_10,0,0,,1174,True,False,en
7601:2,rater_10,3,3,2567:1|440:2|387:2,2220,True,False,en
